"","Ethnic group","Representation Index","type2"
"15","Asian",1.02751222089415,"Applications"
"16","Black",0.585443123194568,"Applications"
"17","Chinese",4.58905219770002,"Applications"
"18","Mixed",1.37618385799578,"Applications"
"19","White",0.971786563878719,"Applications"
"151","Asian",0.574912955023923,"Offers"
"161","Black",0.385976245761992,"Offers"
"171","Chinese",3.39074051944127,"Offers"
"181","Mixed",1.40107639194701,"Offers"
"191","White",1.04473456561473,"Offers"
