"","Ethnic group","Applications","Applications.perc","Offers","Offers.perc","type","Population","Population percentage","Offers.rep","Applications.rep","success"
"15","Asian",3044,9.16591388136104,437,5.12850604389156,"Broad",290690,8.92049135277906,0.574912955023923,1.02751222089415,14.3561103810775
"16","Black",869,2.61668172237278,147,1.72514963032508,"Broad",145649,4.46957461571061,0.385976245761992,0.585443123194568,16.9159953970081
"17","Chinese",691,2.08069858476363,131,1.53737824199038,"Broad",14775,0.453404863384742,3.39074051944127,4.58905219770002,18.9580318379161
"18","Mixed",1983,5.97109304426378,518,6.07909869733599,"Broad",141390,4.33887740331429,1.40107639194701,1.37618385799578,26.1220373171962
"19","White",26200,78.8919000301114,7227,84.8139889684309,"Broad",2645470,81.1823325846655,1.04473456561473,0.971786563878719,27.5839694656489
